"id","student_id","year_level","prediction","on_time_prob","delayed_prob","predicted_at","units_passed","failed_prerequisite","failed_common_courses","num_failed_courses","overall_gwa"
"65","E23-00736","3","On Time","0.787241","0.212759","2025-10-17 07:19:52","101","0","0","0","2.06"
"69","E24-00418","2","On Time","0.601293","0.398707","2025-10-17 07:25:41","52","0","0","0","1.98"
"71","E24-00738","2","On Time","0.608775","0.391225","2025-10-17 07:30:16","52","0","0","0","2.03"
"72","E24-00561","2","On Time","0.552431","0.447569","2025-10-17 07:30:48","52","0","0","0","1.66"
"73","E24-00637","2","On Time","0.573991","0.426009","2025-10-17 07:31:00","52","0","0","0","1.80"
"74","E24-00609","2","On Time","0.638161","0.361839","2025-10-17 07:31:13","52","0","0","0","2.23"
"75","E24-00761","2","On Time","0.560158","0.439842","2025-10-17 07:31:23","52","0","0","0","1.71"
"76","E24-00292","2","On Time","0.502534","0.497466","2025-10-17 07:31:30","52","0","0","0","1.34"
"77","E24-00330","2","On Time","0.623657","0.376343","2025-10-17 07:31:44","49","0","0","0","2.45"
"78","E24-00515","2","On Time","0.633812","0.366188","2025-10-17 07:31:51","52","0","0","0","2.20"
"79","E24-00463","2","On Time","0.544678","0.455322","2025-10-17 07:32:01","52","0","0","0","1.61"
"80","E24-00450","2","On Time","0.62798","0.37202","2025-10-17 07:32:48","52","0","0","0","2.16"
"81","E24-00713","2","On Time","0.564859","0.435141","2025-10-17 07:33:07","49","0","0","0","2.06"
"82","E24-00739","2","On Time","0.619162","0.380838","2025-10-17 07:33:14","52","0","0","0","2.10"
"83","E24-00345","2","On Time","0.62798","0.37202","2025-10-17 07:33:20","52","0","0","0","2.16"
"84","E24-00031","2","On Time","0.575522","0.424478","2025-10-17 07:33:28","52","0","0","0","1.81"
"85","E24-00650","2","On Time","0.540096","0.459904","2025-10-17 07:33:39","49","0","0","0","1.90"
"86","E24-00686","2","On Time","0.64679","0.35321","2025-10-17 07:33:47","52","0","0","0","2.29"
"87","E24-00638","2","On Time","0.5756","0.4244","2025-10-17 07:33:54","49","0","0","0","2.13"
"88","E24-00876","4","On Time","0.895215","0.104785","2025-10-17 07:34:03","152","0","0","0","1.83"
"89","E24-00862","2","Delayed","0.0000000000000157652","1","2025-10-17 07:34:37","6","6","2","8","4.47"
"90","E24-00724","2","Delayed","0.038142","0.961858","2025-10-17 07:35:30","46","0","1","1","2.49"
"91","E24-00232","2","On Time","0.620637","0.379363","2025-10-17 07:35:57","52","0","0","0","2.11"
"92","E24-00525","2","On Time","0.608775","0.391225","2025-10-17 07:36:04","52","0","0","0","2.03"
"93","E24-00825","4","On Time","0.899256","0.100744","2025-10-17 07:36:14","152","0","0","0","1.90"
"94","E24-00169","2","On Time","0.592254","0.407746","2025-10-17 07:36:21","52","0","0","0","1.92"
"95","E23-00091","3","On Time","0.748237","0.251763","2025-10-17 07:37:31","101","0","0","0","1.71"
"96","E23-00069","3","On Time","0.741156","0.258844","2025-10-17 07:37:42","98","0","0","0","1.97"
"97","E21-00506","4","Delayed","0.0000619752","0.999938","2025-10-17 07:37:59","177","2","1","3","2.36"
"98","E23-00094","3","On Time","0.726418","0.273581","2025-10-17 08:20:18","101","0","0","0","1.53"
"99","E23-00104","3","On Time","0.771086","0.228914","2025-10-17 08:20:33","101","0","0","0","1.91"
"100","E23-00191","3","On Time","0.723923","0.276077","2025-10-17 08:20:40","101","0","0","0","1.51"
"101","E23-00136","3","On Time","0.775477","0.224523","2025-10-17 08:20:49","101","0","0","0","1.95"
"102","E23-00095","3","On Time","0.737111","0.262889","2025-10-17 08:20:58","99","0","0","0","1.83"
"103","E23-00014","3","On Time","0.750588","0.249412","2025-10-17 08:23:14","101","0","0","0","1.73"
"104","E23-00035","3","On Time","0.763258","0.236742","2025-10-17 08:23:37","101","0","0","0","1.84"
"105","E23-00313","3","On Time","0.717752","0.282248","2025-10-17 08:23:47","95","0","0","0","2.10"
"106","E23-00314","3","On Time","0.723987","0.276013","2025-10-17 08:23:53","98","0","0","0","1.83"
"107","E23-00068","3","On Time","0.775477","0.224523","2025-10-17 08:24:04","101","0","0","0","1.95"
"108","E22-00034","4","On Time","0.888576","0.111424","2025-10-17 08:24:50","152","0","0","0","1.72"
"109","E22-00964","3","Delayed","0.000000000000265565","1","2025-10-17 08:25:00","89","4","4","8","2.82"
"110","E22-00743","4","On Time","0.903157","0.0968426","2025-10-17 08:25:13","152","0","0","0","1.97"
"111","E22-01032","4","Delayed","0.0495837","0.950416","2025-10-17 08:25:35","132","1","0","1","2.09"
"112","E22-00728","4","On Time","0.896384","0.103616","2025-10-17 08:25:45","152","0","0","0","1.85"
"113","E22-00033","4","On Time","0.869291","0.130709","2025-10-17 08:25:55","152","0","0","0","1.43"
"114","E22-00361","4","On Time","0.878932","0.121068","2025-10-17 08:26:03","152","0","0","0","1.57"
"115","E22-00089","4","On Time","0.876242","0.123758","2025-10-17 08:26:11","152","0","0","0","1.53"
"116","E22-00115","4","On Time","0.886703","0.113297","2025-10-17 08:26:20","152","0","0","0","1.69"
"117","E22-00218","4","On Time","0.903157","0.0968426","2025-10-17 08:26:28","152","0","0","0","1.97"
"118","E21-00279","4","Delayed","0.0000785055","0.999922","2025-10-17 08:27:25","186","3","0","3","2.37"
"119","E21-00627","4","Delayed","0.000000113255","1","2025-10-17 08:27:39","146","1","4","5","2.50"
"120","E21-00273","4","Delayed","0.0000384772","0.999961","2025-10-17 08:27:54","180","3","0","3","1.87"
"121","E21-00561","4","Delayed","0.0290865","0.970914","2025-10-17 08:28:07","158","1","0","1","2.30"
"122","E21-00560","4","Delayed","0.0296217","0.970378","2025-10-17 08:28:16","158","1","0","1","2.33"
"124","E24-00574","2","On Time","0.66236","0.337639","2025-10-17 08:49:49","52","0","0","0","2.40"
"125","E22-00562","4","Delayed","0.00000000000000222045","1","2025-10-17 12:49:59","122","7","2","9","2.96"
"126","E21-00628","4","Delayed","0","100","2025-10-17 20:53:24","143","4","0","5","2.49"
"127","E20-00005","4","Delayed","0.00000000145293","1","2025-10-21 13:38:31","147","3","3","6","2.30"
"128","E20-00411","4","Delayed","0.00000000000000133227","1","2025-10-21 13:38:41","155","4","6","10","2.53"
"129","E20-00207","4","Delayed","0.416072","0.583928","2025-10-22 09:13:15","117","0","0","0","1.59"
"130","E19-00650","4","Delayed","0.00309518","0.996905","2025-10-22 09:28:17","183","2","0","2","2.29"
"133","E22-00812","4","On Time","0.89344","0.10656","2025-10-23 10:33:01","152","0","0","0","1.80"
"134","E19-00294","4","Delayed","0.000000000000623279","1","2025-10-23 22:33:34","152","6","2","8","2.52"
"135","E22-00377","4","On Time","0.881572","0.118428","2025-10-24 07:16:49","152","0","0","0","1.61"
"136","E25-00308","1","On Time","61.31","38.69","2025-10-24 09:42:49",NULL,NULL,NULL,NULL,NULL
"137","E25-00405","1","On Time","88.15","11.85","2025-10-24 09:47:46",NULL,NULL,NULL,NULL,NULL
"138","E25-00391","1","On Time","99.76","0.24","2025-10-24 09:51:42",NULL,NULL,NULL,NULL,NULL
"139","E25-00381","1","On Time","99.22","0.78","2025-10-24 10:00:49",NULL,NULL,NULL,NULL,NULL
"140","E25-00509","1","On Time","95.05","4.95","2025-10-24 12:52:28",NULL,NULL,NULL,NULL,NULL
"141","E25-00241","1","On Time","99.89","0.11","2025-10-24 12:58:29",NULL,NULL,NULL,NULL,NULL
"142","E25-00439","1","On Time","92.74","7.26","2025-10-24 13:12:57",NULL,NULL,NULL,NULL,NULL
"143","E25-00435","1","On Time","56.75","43.25","2025-10-24 14:47:04",NULL,NULL,NULL,NULL,NULL
"144","E25-00243","1","On Time","85.2","14.8","2025-10-24 15:01:32",NULL,NULL,NULL,NULL,NULL
"145","E25-00182","1","On Time","78.16","21.84","2025-10-24 19:09:01",NULL,NULL,NULL,NULL,NULL
"146","E25-00576","1","Delayed","44.91","55.09","2025-10-24 19:52:18",NULL,NULL,NULL,NULL,NULL
